#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0318-0107|3262674487682440448|DA      |13025|  74|7.218|0.006|0.281|0.002|    |     |
J0320+1113|  16166875377576064|DA      | 6590|  90|8.232|0.040|0.737|0.037|    |     |
J0320+1113|  16166875378033664|DA      | 7725|  72|8.020|0.026|0.606|0.022|    |     |
J0321+1757|  56048945255703680|DA      | 5283|  21|8.059|0.017|0.619|0.015|    |     |
J0324-0617|5169733318219971968|DA      | 7206|  57|7.968|0.023|0.573|0.018|    |     |
J0326+1331|  17709047809907584|DAH     |11351| 100|8.521|0.018|0.935|0.015|    |     |
J0326-0636|5168944835239726080|DA      |15168| 256|8.065|0.014|0.651|0.011|    |     |
J0327+4623| 242802266545591936|DA      | 7885|  55|7.790|0.015|0.478|0.010|    |     |
J0327-0636|5168947721457740288|DA      | 7566|  48|8.168|0.016|0.697|0.014|    |     |
J0329-0555|3247469130928600960|DA      | 5333|  54|8.003|0.050|0.584|0.042|    |     |
J0330+0037|3264828357946121984|DA      | 5852|  70|8.162|0.044|0.688|0.039|    |     |
J0331+4509| 241745640169579776|DA      | 8543|  77|8.348|0.016|0.817|0.014|    |     |
J0331+4736| 248937133409693440|DA      | 8370|  40|7.982|0.014|0.585|0.011|    |     |
J0333+4427| 238653229356266752|DA      | 9139| 106|8.607|0.020|0.986|0.016|    |     |
J0338+0409|3274761620869767168|DA      | 8762|  40|7.863|0.012|0.519|0.009|    |     |
J0339+0949|  12254267546754176|DA      |12702| 178|8.056|0.013|0.640|0.011|    |     |
J0339+1431|  41518658576469760|DA      | 6477|  53|8.191|0.040|0.710|0.035|    |     |
J0341+3818| 224218080493203328|DA      | 7325|  60|8.392|0.025|0.844|0.023|    |     |
J0344+1509|  42871199614383616|DA      | 8505|  49|8.255|0.010|0.756|0.009|    |     |
J0344+1705|  44478578238260864|DA      | 8345|  47|7.945|0.020|0.563|0.015|    |     |
J0344+3532| 221424221446885248|DA      | 6433|  44|8.172|0.027|0.697|0.023|    |     |
J0348-0058|3251244858154433536|DA      |37537|1429|9.093|0.019|1.244|0.008|    |     |
J0349+1036|  36207059639735296|DA      |11952| 172|8.247|0.014|0.758|0.013|    |     |
J0352+3658| 220421260684140288|DA      | 6941|  58|8.359|0.033|0.822|0.029|    |     |
J0352+4941| 250278709394343936|DA      | 7349|  35|8.152|0.010|0.687|0.009|    |     |
J0354-0044|3256598792586547584|DA      | 6099|  24|7.666|0.009|0.410|0.006|    |     |
J0357+1915|  50456318016101120|DAH     | 5902|  34|8.028|0.020|0.604|0.017|    |     |
J0404+1502|  39124751182907520|DA      |12304| 154|8.040|0.009|0.630|0.008|    |     |
J0404-0523|3197508598168785408|DA      | 8580|  64|8.016|0.018|0.606|0.015|    |     |
J0406+5431| 276192136878054656|DA      |16812| 166|8.045|0.009|0.643|0.007|    |     |
J0406-0515|3197515087862709888|DA      | 6724|  69|8.392|0.035|0.843|0.031|    |     |
J0406-0644|3197019139399144320|DA      | 5843|  22|7.319|0.017|0.273|0.008|    |     |
J0414+0640|3297249936488848384|DA      |12068|  62|8.043|0.005|0.631|0.004|    |     |
