#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J2244+1513|2732515029018125312|DA      | 5735|  35|7.953|0.018|0.558|0.015|    |     |
J2245-1002|2608247533357159424|DA      | 8740|  53|8.351|0.012|0.820|0.011|    |     |
J2246+0253|2656454216222569216|DA      |13282|  92|7.968|0.011|0.590|0.009|    |     |
J2248+0436|2705188999676567936|DA      | 9657|  33|8.011|0.012|0.606|0.010|    |     |
J2249+2236|2836609093355562496|DA      |10072|  33|8.607|0.005|0.987|0.004|    |     |
J2250+0351|2656959231361709056|DA      | 6444|  50|8.296|0.029|0.779|0.027|    |     |
J2255+0545|2711324446359728384|DA      | 5881|  18|7.962|0.008|0.565|0.006|    |     |
J2255-0750|2610488514148351360|DA      | 6705|  24|7.979|0.009|0.579|0.007|    |     |
J2256+1252|2719012579552367488|DA      |11371| 120|7.982|0.011|0.593|0.009|    |     |
J2257+0755|2712240064671438720|DAH     |13407| 128|9.286|0.010|1.298|0.003|    |     |
J2257+1921|2831963931606829312|DA      | 8584|  54|7.997|0.012|0.595|0.010|    |     |
J2258+6430|2208752769527485568|DA      | 7808|  43|8.073|0.010|0.639|0.009|    |     |
J2259-0828|2607380156121387648|DAH     | 6115|  24|8.281|0.017|0.768|0.016|    |     |
J2301+1436|2816082757452460416|DA      |12905|  98|7.975|0.009|0.593|0.007|    |     |
J2306+2432|2842650153836732928|DA      |11012| 116|7.964|0.010|0.582|0.009|    |     |
J2308+0553|2663502184540697856|DA      | 6040|  36|8.260|0.031|0.753|0.029|    |     |
J2308+1245|2811882073278282496|DA      |20597| 319|8.080|0.013|0.671|0.011|    |     |
J2308+1319|2814942392095501952|DA      |13045| 142|7.971|0.008|0.591|0.007|    |     |
J2309-0705|2631652528139944832|DA      | 7423| 148|7.740|0.042|0.451|0.029|    |     |
J2312+1047|2810585920868186240|DA      |53603|7768|7.758|0.062|0.589|0.043|    |     |
J2312+1310|2812250821990695936|DA:     | 5152|  16|7.930|0.009|0.540|0.007|    |     |
J2312+2133|2838537563735201664|DA      | 6043|  48|8.094|0.025|0.646|0.022|    |     |
J2312-0030|2651072927142789632|DA      | 6003|  62|8.739|0.034|1.062|0.025|    |     |
J2314+0109|2657451056656635648|DA      | 7939|  55|7.969|0.021|0.576|0.017|    |     |
J2318+1236|2811321837744375936|DAH     |11615|  96|8.405|0.008|0.860|0.007|    |     |
J2318+2345|2839231634746334848|DA      | 5225|  22|7.893|0.052|0.519|0.042|    |     |
J2319-0229|2637741490390750080|DA      | 5085|  14|7.226|0.010|0.233|0.004|    |     |
J2320+1258|2811363550466857344|DA      |13175| 104|7.970|0.011|0.591|0.009|    |     |
J2320+1945|2825325213544431360|DA      | 6192|  34|8.632|0.017|0.998|0.013|    |     |
J2321+0102|2645295921252503424|DA      | 5528|  50|8.340|0.027|0.804|0.025|    |     |
J2321+5511|1996831828951826176|DA      | 7283|  44|7.999|0.014|0.592|0.012|    |     |
J2321+6926|2214973771957744128|DA      |16768| 230|7.785|0.011|0.502|0.008|    |     |
J2323+1135|2810953668852136064|DA      | 6845|  38|8.365|0.024|0.825|0.021|    |     |
J2323+3415|1912118310604657408|DA      |18821| 208|7.925|0.009|0.580|0.007|    |     |
J2324+2835|2869130517001766400|DA      | 7231|  37|8.009|0.009|0.598|0.008|    |     |
J2324+3014|2870129010998688512|DA      | 8003|  54|7.914|0.016|0.545|0.013|    |     |
J2325+2511|2841283151645302272|DA      | 8681| 132|7.604|0.030|0.393|0.018|    |     |
J2325-0936|2437760730687096192|DA      | 8164|  74|7.923|0.026|0.550|0.020|    |     |
J2327+0415|2659860636389069312|DA      | 7132|  32|8.005|0.018|0.595|0.015|    |     |
J2327+2638|2841680934336158976|DA      | 6646|  42|8.431|0.011|0.869|0.010|    |     |
J2328+7059|2227233773282607488|DA      | 8364|  72|7.788|0.018|0.478|0.013|    |     |
J2329+0047|2645449715440904960|DA      | 6179|  34|8.107|0.019|0.654|0.017|    |     |
J2331+3001|2869685285040721536|DA      | 6624|  86|8.380|0.041|0.835|0.036|    |     |
J2332+2658|2865535629374939520|DAH     | 9627|  40|8.448|0.006|0.885|0.005|    |     |
J2332+3353|2872712618509070080|DA      | 8389|  54|7.947|0.017|0.565|0.013|    |     |
J2335-0442|2633120655335891968|DA      |10343|  61|7.938|0.009|0.566|0.007|    |     |
J2336+3252|2872373629627611520|DA      | 6888|  51|8.387|0.015|0.840|0.014|    |     |
J2338+0627|2756665763266917888|DA      | 6321|  38|8.157|0.056|0.687|0.050|    |     |
J2338+2101|2826254713186397440|DA      | 5216|   6|7.992|0.006|0.577|0.006|    |     |
J2338+3101|2871162547632415744|DA      | 6500|  50|8.105|0.037|0.654|0.032|    |     |
J2339+2843|2866228901519900544|DA      | 6074|  33|8.288|0.027|0.772|0.024|    |     |
J2340+4357|1925701917774697344|DA      | 8614|  30|8.112|0.010|0.665|0.009|    |     |
J2342+0950|2760011096114471040|DA      | 6575|  50|8.246|0.037|0.746|0.034|    |     |
J2342-1001|2435433202010203264|DA      | 4942|  28|7.901|0.018|0.521|0.015|    |     |
J2343+0837|2759588063311504768|DA      | 6695|  52|7.921|0.015|0.545|0.013|    |     |
J2343+3232|2871730307948650368|DA      |12674|  88|8.008|0.004|0.612|0.003|    |     |
J2344+1429|2771071908211662464|DA      | 5144|  48|7.916|0.039|0.531|0.031|    |     |
J2346+2200|2826770319713589888|DA      |11191|  76|7.905|0.012|0.549|0.009|    |     |
J2346+2728|2865060636057386112|DA      | 6252|  40|7.928|0.030|0.546|0.024|    |     |
J2347+0656|2744932943406490112|DA      | 6613|  62|8.485|0.049|0.905|0.043|    |     |
J2348+4102|1921293254101835776|DA      |18245| 148|7.945|0.007|0.589|0.006|    |     |
J2349+2933|2867032958053059200|DA      | 5917|  17|7.932|0.006|0.547|0.004|    |     |
J2350-0846|2436043980719301504|DA      | 5534|  22|8.204|0.021|0.713|0.019|    |     |
J2351+5839|1999250788878655360|DA      | 6168|  32|8.100|0.016|0.650|0.014|    |     |
J2352+0212|2739624711723101312|DA      | 5363|  58|8.110|0.051|0.651|0.046|    |     |
J2352-0253|2448933731627261824|DA      |10692| 114|9.367|0.013|1.321|0.004|    |     |
J2354+0548|2743812644136889600|DA      | 6292|  41|7.877|0.038|0.518|0.030|    |     |
J2355-1916|2389966854309408512|DA      | 8715|  47|7.944|0.011|0.564|0.009|    |     |
J2356+0537|2745244002118134400|DA      | 6535|  39|7.949|0.022|0.560|0.018|    |     |
J2356+1143|2766498012855959424|DA      |11992| 104|8.121|0.009|0.679|0.008|    |     |
J2356+1945|2822335370842658304|DA      |13449| 120|7.956|0.010|0.584|0.008|    |     |
J2357+2602|2853372247632375040|DA      | 8059|  41|7.965|0.012|0.574|0.010|    |     |
J2357+5057|1944042802521121024|DA      | 5655|  42|8.140|0.021|0.673|0.019|    |     |
J2359-0740|2441483303397892608|DA      |10856|  98|8.054|0.019|0.635|0.016|    |     |
J0048-0124|2530629365419780864|DA(He)  | 9235| 100|8.207|0.016|0.708|0.015|-3.5|     |
J0851+5426|1029968414968983424|DA(He)  | 8782|  88|8.275|0.017|0.752|0.016|-4.0|     |
J1024-0023|3830990156631488128|DA(He)  | 9487|  75|8.163|0.019|0.680|0.017|-4.5|     |
J1159+0007|3891115064506627840|DA(He)  | 8566|  44|8.419|0.007|0.849|0.006|-2.5|     |
J1412+1129|1226246251436497152|DA(He)  | 7360|  56|8.225|0.025|0.717|0.022|-2.0|     |
J1529+1304|1193808772927091712|DA(He)  | 9254|  53|8.133|0.011|0.661|0.009|-4.5|     |
J1611+1322|4458207634145130368|DA(He)  | 8529|  50|8.326|0.007|0.786|0.007|-2.5|     |
J1623+4650|1410031887762012800|DA(He)  | 9206|  82|8.177|0.012|0.689|0.011|-4.0|     |
J1628+1224|4460327252045435648|DA(He)  |11002| 129|7.854|0.018|0.501|0.013|-1.5|     |
J1646+0308|4385911549163997184|DA(He)  |10290|  68|8.060|0.014|0.617|0.012|-4.5|     |
J2104+2333|1840865211187303424|DA(He)  |11059| 107|7.932|0.014|0.544|0.011|-1.0|     |
J2138+2309|1794118516552814336|DA(He)  | 9695|  33|7.802|0.007|0.470|0.005|-1.5|     |
J2301+2323|2842112183412398336|DA(He)  | 9974|  52|8.099|0.009|0.641|0.008|-5.0|     |
J0001+3237|2874216647336589568|DC      | 5447|  54|7.771|0.045|0.441|0.033|-5.0|     |
J0005+3451|2876705018245556480|DC      |10138|  73|7.965|0.015|0.561|0.012|-4.6|     |
J0008-0353|2445187691214892416|DC      | 5714|  52|7.953|0.041|0.543|0.034|-5.0|     |
J0011+2824|2859908324567852416|DC      | 8243|  91|7.872|0.021|0.503|0.017|-3.8|     |
J0011-0827|2429268309033277184|DC      | 8616|  94|8.130|0.028|0.658|0.025|-4.0|     |
J0014-0758|2429392661221943040|DC      | 5585|  51|8.017|0.048|0.581|0.041|-5.0|     |
J0019-1114|2424913628807069056|DC      | 8187|  64|8.093|0.025|0.633|0.022|-3.8|     |
J0021+3827| 378856389416637056|DC      |11332|  86|8.057|0.011|0.617|0.010|-5.0|     |
J0038+3409| 364978005758397952|DC      | 9191|  58|7.923|0.018|0.534|0.014|-4.2|     |
J0049+1727|2782037303315690752|DC      | 5790|  66|7.961|0.057|0.548|0.047|-3.0|     |
J0054+1412|2777751372630874112|DC      | 6176|  54|8.145|0.042|0.663|0.037|-3.0|     |
J0101-0252|2532236546477272192|DC      | 7606|  48|8.103|0.016|0.639|0.014|-3.6|     |
J0115+1244|2583851917252389888|DC      |10350|  88|8.062|0.015|0.619|0.013|-4.8|     |
J0118-0156|2533306985471073920|DC      |45195|    |9.168|0.091|1.259|0.033|-5.0|     |
J0129+3459| 317446015009891328|DC      | 5760|  88|8.113|0.056|0.641|0.051|-3.0|     |
J0141+3210| 303958443311053824|DC      | 6168|  57|8.061|0.038|0.610|0.033|-3.0|     |
J0150+1720|  91460813172927488|DC      | 5992|  52|8.062|0.032|0.609|0.028|-3.0|     |
J0200+1222|2574640823015408128|DC      | 8291| 292|7.971|0.066|0.560|0.054|-4.0|     |
J0203+2411| 104118528470334720|DC      | 6869|  54|7.480|0.026|0.317|0.014|-3.4|     |
J0203-0701|2490494240363793792|DC      | 7652|  68|8.101|0.015|0.637|0.014|-3.6|     |
J0211+1644|  80107603996819584|DC      | 8328|  46|8.135|0.011|0.661|0.011|-4.0|     |
J0225+2410| 101854122928108288|DC      | 8017|  55|8.029|0.015|0.594|0.013|-3.8|     |
J0225-1756|5131731039563630720|DC      | 7714|  56|8.021|0.016|0.588|0.014|-3.6|     |
J0249+1939|  85008707141970304|DC      | 6055|  52|8.135|0.042|0.656|0.037|-3.0|     |
J0251+2925| 128826375813389568|DC      | 6814|  46|8.087|0.024|0.628|0.021|-3.4|     |
J0258+3421| 137141810455464192|DC      | 6271|  46|7.916|0.036|0.523|0.029|-3.2|     |
J0303+0317|   1843503042736512|DC      | 6037|  73|8.069|0.052|0.614|0.045|-3.0|     |
J0303+1921|  60007152756147584|DC      | 6150|  38|8.093|0.019|0.630|0.018|-3.0|     |
J0307+0936|  14862584004642688|DC      | 6146|  30|8.087|0.011|0.626|0.010|-3.0|     |
J0309+0953|  14895255820376064|DC      | 5895|  60|7.839|0.043|0.479|0.034|-3.0|     |
J0319+4230| 239721228805415296|DC      |11142|  74|8.248|0.008|0.738|0.008|-5.0|     |
J0320+4337| 241335036997623296|DC      | 6555|  64|8.170|0.039|0.680|0.036|-3.2|     |
J0324+1738|  55783726731081984|DC      |11530| 102|8.167|0.017|0.686|0.015|-5.0|     |
J0325+1701|  54993654611672704|DC      | 7139|  60|8.011|0.028|0.581|0.024|-3.4|     |
J0332+1806|  56621554593127808|DC      |10144|  88|8.190|0.018|0.699|0.015|-4.6|     |
J0340+0537|3275218193073023360|DC      | 6141|  58|8.094|0.037|0.630|0.032|-3.0|     |
J0342+3920| 224331059611503232|DC      | 8412|  68|8.033|0.014|0.597|0.013|-4.0|     |
J0342+4107| 237144321446511232|DB      |14738| 148|8.208|0.014|0.717|0.013|-5.0|     |
J0348+8048| 568168544844912128|DC      | 6398|  38|7.985|0.013|0.564|0.011|-3.2|     |
J0359-1118|3193194629937678464|DC      | 6672|  42|8.002|0.013|0.575|0.011|-3.2|     |
J0402+1527|  39387328302768640|DC      | 6800|  33|8.127|0.009|0.653|0.008|-3.4|     |
J0413+1522|3311813685256807040|DC      | 5754|  42|8.032|0.025|0.590|0.022|-3.0|     |
J0413+2433| 149884909703520000|DC      | 5862|  73|7.947|0.047|0.540|0.039|-3.0|     |
J0416+5456| 276438530560644864|DC      | 7566|  31|8.026|0.011|0.591|0.010|-3.6|     |
J0418+3022| 166091096919353088|DC      | 6109|  46|7.960|0.032|0.548|0.026|-3.0|     |
J0421+5535| 276576484910598912|DC      | 7072|  54|8.202|0.013|0.702|0.013|-3.4|     |
J0424+3038| 165401149074789504|DC      | 7052|  70|8.062|0.032|0.612|0.028|-3.4|     |
J0426-0347|3204665315057342336|DC      | 5609|  37|7.929|0.020|0.528|0.017|-5.0|     |
J0429+2159| 145429108768875008|DC      | 8080|  42|8.167|0.008|0.681|0.007|-3.8|     |
J0439+0928|3293451020735654272|DC      | 9277|  76|8.050|0.016|0.609|0.014|-4.4|     |
J0441-0042|3229556024930689024|DC      | 5527|  32|7.661|0.026|0.387|0.017|-5.0|     |
J0453-0457|3188530840914150144|DC      | 8373|  68|8.017|0.018|0.587|0.015|-4.0|     |
J0524-0604|3209150124204756224|DC      | 6270|  28|8.100|0.010|0.635|0.009|-3.2|     |
J0548+4655| 210000437370798976|DC      | 9993|  64|7.980|0.015|0.569|0.012|-4.6|     |
J0550+3257|3451263611151284480|DC      | 5339|  40|7.857|0.024|0.486|0.018|-5.0|     |
J0555+4430| 196617731593326976|DC      | 5570|  44|7.789|0.027|0.451|0.020|-5.0|     |
J0624-0104|3118420619409587712|DC      | 6311|  71|8.065|0.040|0.613|0.036|-3.2|     |
J0644+0926|3326650224581677312|DC      | 5704|  27|7.793|0.011|0.454|0.008|-5.0|     |
J0652+1416|3354222505874657280|DC      |10241|  81|8.060|0.013|0.617|0.012|-4.6|     |
J0700+0530|3128834506352463104|DC      | 8520|  36|8.005|0.009|0.580|0.008|-4.0|     |
J0718+3731| 898348313253395968|DC      |40636|1506|9.362|0.027|1.316|0.008|-5.0|     |
J0719+3343| 896326002132552320|DC      | 6970|  64|8.071|0.043|0.618|0.038|-3.4|     |
J0724+4400| 973275770078523520|DC      | 5695|  40|7.959|0.022|0.546|0.018|-5.0|     |
J0729+3552| 898473932456801024|DC      | 8950|  70|8.070|0.022|0.621|0.019|-4.2|     |
J0738+1101|3150099301752709504|DC      | 6045|  50|8.063|0.025|0.610|0.022|-3.0|     |
J0748+1125|3151443115414582016|DC      | 8983|  56|8.324|0.010|0.785|0.009|-4.2|     |
J0751+1416|3164518640833807872|DC      | 5872|  31|7.981|0.025|0.560|0.021|-3.0|     |
J0754+6611|1094919590481107968|DC      | 6655|  26|7.969|0.008|0.555|0.006|-3.2|     |
J0756+0812|3145382126287048832|DC      |10542|  75|8.093|0.013|0.638|0.011|-4.8|     |
J0757+6453|1094608119452121856|DC      | 8603|  78|8.207|0.018|0.708|0.017|-4.0|     |
J0801+3618| 907000821224488832|DC      | 7228|  44|7.907|0.020|0.520|0.017|-3.4|     |
J0805-0654|3063960605892490368|DC      | 5728|  48|8.016|0.033|0.580|0.027|-5.0|     |
J0807-0753|3063650376111451136|DC      | 9412|  48|8.023|0.011|0.593|0.009|-4.4|     |
J0813+0935|3146523896095375744|DC      | 5451|  32|7.632|0.029|0.373|0.019|-5.0|     |
J0816+1313| 650432664805355392|DC      | 5276|  25|7.741|0.024|0.425|0.017|-5.0|     |
J0817+2902| 684258010458273152|DC      | 5966|  61|8.143|0.037|0.661|0.033|-3.0|     |
J0818+4449| 928440365957680256|DC      | 5833|  46|7.989|0.040|0.564|0.034|-3.0|     |
J0829+4419| 917707418778058368|DC      | 5757|  38|7.952|0.029|0.542|0.023|-3.0|     |
J0829+5641|1034060277555338368|DC      | 9694|  89|7.931|0.019|0.540|0.015|-4.4|     |
J0835-0435|3065513047592503552|DC      | 9570|  68|8.069|0.015|0.621|0.013|-4.4|     |
J0836+5104|1027695136022450432|DC      | 5474|  46|7.988|0.031|0.563|0.026|-5.0|     |
J0840+2244| 666111739274159360|DC      | 5014|  38|7.482|0.029|0.309|0.016|-5.0|     |
J0842+5959|1040866941726072064|DC      | 5852|  49|8.033|0.028|0.591|0.025|-3.0|     |
J0842-0222|3072348715677121280|DAH?DBH?|22238| 262|8.925|0.008|1.156|0.004|-5.0|     |
J0852+3209| 712789886226437632|DC      | 5652|  31|7.802|0.022|0.458|0.016|-5.0|     |
J0852-0144|5764001760847057280|DC      | 6087|  54|8.088|0.034|0.626|0.030|-3.0|     |
J0857+6308|1043885758275341184|DC      | 9273|  71|8.070|0.016|0.621|0.014|-4.4|     |
J0901+4946|1015799828959492352|DC      | 5309|  72|8.121|0.047|0.658|0.043|    |     |
J0906+0128| 577035178410047616|DC      | 6581|  62|8.106|0.038|0.639|0.034|-3.2|     |
J0918+0124|3844228070471625216|DC      | 5861|  48|7.839|0.042|0.479|0.032|-3.0|     |
J0918+3737| 811059120212556416|DC      | 6070|  58|8.216|0.051|0.709|0.047|-3.0|     |
J0921+5935|1038360708050042496|DC      | 5775|  63|8.070|0.038|0.614|0.034|-3.0|     |
J0937+2854| 696016634481430912|DC      |10925| 176|7.758|0.028|0.452|0.019|-5.0|     |
J0939+5911|1026514226174393344|DC      | 5931|  50|8.081|0.031|0.622|0.028|-3.0|     |
J0944+4807| 825049851623687296|DC      | 5984|  40|8.073|0.018|0.616|0.016|-3.0|     |
J0951+8039|1132614349476009728|DC      | 6318|  66|8.164|0.029|0.675|0.026|-3.2|     |
J0954+3046| 744878171010647552|DC      | 5950|  46|7.986|0.060|0.563|0.050|-3.0|     |
J0954+6022|1050272718241775488|DC      | 6047|  54|8.006|0.022|0.575|0.019|-3.0|     |
J1006+0711|3874412413432643328|DC      | 4857|  26|7.969|0.026|0.560|0.021|    |     |
J1025+6142|1048769578471443072|DC      | 5494|  32|7.903|0.024|0.513|0.019|-5.0|     |
J1028+5815|1047228922162323968|DC      | 6529|  26|7.783|0.014|0.452|0.010|-3.2|     |
J1038+1258|3884662713661807616|DC      |10840|  99|8.025|0.022|0.597|0.019|-5.0|     |
J1039+4614| 830472368094495232|DC      | 5554|  66|8.123|0.091|0.647|0.082|-5.0|     |
J1039-0325|3778305545157841152|DC      |15335| 174|8.493|0.014|0.903|0.012|-5.0|     |
J1042+4448| 829441717689202816|DC      | 5786|  51|7.981|0.048|0.560|0.040|-3.0|     |
J1057+3008| 733294781652279680|DC      | 6187|  22|7.928|0.014|0.530|0.012|-3.0|     |
J1059+2700| 730264772419060608|DC      | 5544|  46|7.997|0.043|0.568|0.037|-5.0|     |
J1103+4248| 778845108849112704|DC      | 5495|  22|7.659|0.067|0.386|0.044|-5.0|     |
J1109-0312|3790932787663209344|DC      | 8123|  56|8.042|0.018|0.602|0.015|-3.8|     |
J1127+7531|1080303919849120128|DC      | 8357|  42|8.009|0.008|0.582|0.007|-4.0|     |
J1135+1240|3917662149987657472|DC      | 4939|  74|7.911|0.057|0.526|0.046|    |     |
J1137+4019| 767724270288678784|DC      | 7275|  55|7.902|0.024|0.518|0.019|-3.6|     |
J1147+2218|3979704120809463808|DC      | 5793|  46|8.083|0.051|0.622|0.046|-3.0|     |
J1217+3656|1531580424311162880|DC      | 5448|  40|7.816|0.026|0.465|0.019|-5.0|     |
J1221+6520|1680980518105612672|DC      | 6113|  68|7.995|0.024|0.569|0.020|-3.0|     |
J1225+2836|4010090670831602432|DC      | 5768|  53|7.860|0.034|0.490|0.027|-3.0|     |
J1240+0932|3903151246497510784|DC      | 5898|  34|8.039|0.020|0.595|0.018|-3.0|     |
J1252-0234|3682469122383597056|DC      | 7218|  71|7.703|0.020|0.414|0.014|-3.4|     |
J1254+1432|3930720057454344960|DC      | 9577|  52|8.049|0.013|0.609|0.011|-4.4|     |
J1302+2120|3944082692848953088|DC      | 6064|  36|7.943|0.022|0.538|0.019|-3.0|     |
J1310+6746|1679458897091659008|DC      | 6041|  52|8.198|0.021|0.697|0.020|-3.0|     |
J1314+5327|1563260687202320256|DC      | 9743|  54|7.991|0.011|0.575|0.009|-4.4|     |
J1318+5003|1556577584947193856|DC      | 9831|  82|7.962|0.016|0.558|0.013|-4.6|     |
J1320+5530|1563853976804546688|DC      | 5536|  71|7.910|0.044|0.517|0.036|-5.0|     |
J1325+4523|1550208900064886656|DC      | 5606|  59|7.627|0.037|0.372|0.024|-5.0|     |
J1327+5805|1566020598826667904|DC      | 5411|  60|7.978|0.034|0.556|0.028|-5.0|     |
J1334+4704|1551761857160285312|DC      | 6077|  55|8.081|0.031|0.622|0.028|-3.0|     |
J1342+4436|1503203059990907648|DC      | 6019|  62|7.979|0.027|0.559|0.022|-3.0|     |
J1348-0152|3658513620167922816|DC      | 5620|  48|7.944|0.043|0.537|0.036|-5.0|     |
J1356+1336|1230679413599906176|DC      | 5540|  37|7.839|0.039|0.477|0.030|-5.0|     |
J1402-0902|3615906062827657344|DC      | 7452|  38|8.304|0.013|0.770|0.013|-3.6|     |
J1405+4300|1499290379143445760|DC      | 6231|  54|7.970|0.020|0.555|0.017|-3.0|     |
J1406+2003|1246230047071154944|DC      | 7398|  62|7.962|0.024|0.553|0.019|-3.6|     |
J1417-0012|3653854572788715520|DC      | 7052|  57|7.974|0.018|0.559|0.015|-3.4|     |
J1420+0351|3669328034286134016|DC      | 5556|  52|7.922|0.038|0.524|0.032|-5.0|     |
J1421+0709|3673479966286848640|DC      | 5932|  52|7.940|0.049|0.536|0.040|-3.0|     |
J1424+1743|1238591671072637184|DC      | 5663|  70|7.971|0.056|0.553|0.046|-5.0|     |
J1427+4126|1491559506730816384|DC      | 6221|  62|8.316|0.034|0.776|0.032|-3.0|     |
J1431+4848|1603370081109395200|DC      | 5621|  37|7.716|0.034|0.414|0.024|-5.0|     |
J1444+1048|1175242896321238400|DC      | 5899|  42|7.879|0.026|0.501|0.020|-3.0|     |
J1444+3759|1486801267085903488|DC      | 5505|  62|7.889|0.039|0.505|0.031|-5.0|     |
J1446+2512|1267289165075531008|DC      | 5768|  51|7.828|0.035|0.473|0.026|-3.0|     |
J1455+0141|1154089117236952960|DC      | 6256|  39|7.956|0.022|0.546|0.018|-3.2|     |
J1506+0151|1153544794556784384|DC      | 5637|  58|7.833|0.038|0.474|0.028|-5.0|     |
J1515+3707|1292166062330701056|DC      | 5809|  56|7.942|0.032|0.537|0.026|-3.0|     |
J1547+5426|1597468108851256192|DC      | 5604|  60|8.012|0.037|0.578|0.032|-5.0|     |
J1549-0149|4403335028894782464|DC      | 6694|  32|8.010|0.026|0.580|0.021|-3.2|     |
J1556+3810|1373569711363357056|DC      | 5906|  26|7.892|0.014|0.508|0.012|-3.0|     |
J1557+0953|4455760769799431040|DC      | 5763|  68|7.909|0.042|0.517|0.034|-3.0|     |
J1621+0432|4436905352274528896|DC      |18072| 269|9.144|0.013|1.246|0.005|-5.0|     |
J1622+2651|1305209190813293440|DC      | 5850|  61|7.801|0.032|0.459|0.024|-3.0|     |
J1623+5642|1429800419634352000|DC      | 5695|  58|7.954|0.039|0.543|0.032|-5.0|     |
J1633+5521|1430007784951049216|DC      | 7533|  53|8.020|0.015|0.587|0.013|-3.6|     |
J1634+3350|1325899461324069376|DC      | 7478|  34|7.981|0.008|0.564|0.007|-3.6|     |
J1648-0918|4337798810117194112|DB      |13212| 162|7.864|0.014|0.511|0.011|-5.0|     |
J1656+4911|1409166984427845632|DC      | 5664|  40|7.978|0.026|0.557|0.022|-5.0|     |
J1700+7908|1706270664229782528|DC      |11125| 143|7.931|0.018|0.543|0.015|-5.0|     |
J1704+1852|4560373769265200640|DC      | 5350|  72|8.096|0.059|0.629|0.053|-5.0|     |
J1729+2542|4570748524763671168|DC      |10249|  75|8.070|0.013|0.623|0.011|-4.6|     |
J1733+2903|4598775557191664384|DC      | 5969|  20|7.955|0.007|0.545|0.006|-3.0|     |
J1751+4455|1349726324974648192|DC      | 7153|  45|8.008|0.012|0.579|0.010|-3.4|     |
J1758+2310|4577666681988285696|DC      | 5508|  67|7.855|0.041|0.486|0.032|-5.0|     |
J1807-1955|4095056359580563328|DC      | 8461|  50|8.328|0.014|0.787|0.014|-4.0|     |
J1814+1301|4497001870409825280|DC      | 8755|  82|7.980|0.017|0.566|0.014|-4.2|     |
J1838+6251|2160181598552871040|DC      | 5687|  50|7.856|0.026|0.488|0.020|-5.0|     |
J1849+6458|2253826832091026560|DBH?DAH?|12604| 158|8.722|0.014|1.044|0.011|-5.0|     |
J1924+3751|2052569921645067008|DC      | 5950|  47|8.052|0.025|0.603|0.022|-3.0|     |
J1949-0855|4195385769125206144|DC      | 6694|  61|8.156|0.046|0.671|0.041|-3.2|     |
J2009+5955|2236900335916533248|DC      | 9456|  80|8.295|0.016|0.767|0.015|-4.4|     |
J2012-1307|6879638761736608768|DC      | 9461|  56|8.019|0.013|0.590|0.012|-4.4|     |
J2015-1222|6879784584465884544|DC      | 9428|  60|7.924|0.015|0.535|0.012|-4.4|     |
J2023+0759|1752188773770447872|DC      | 6172|  49|7.993|0.029|0.568|0.024|-3.0|     |
J2030+4015|2067343097310013056|DC      | 5932|  48|8.056|0.029|0.606|0.025|-3.0|     |
J2035-1835|6861525956933302912|DC      |10362| 114|8.601|0.018|0.969|0.015|-4.8|     |
J2037+1453|1810475401285228928|DB      |23225|1087|7.961|0.011|0.582|0.010|-5.0|     |
J2045+4146|2066251179185657856|DC      | 9380| 102|8.063|0.017|0.617|0.015|-4.4|     |
J2057+2316|1839493604790492032|DC      | 5974|  42|7.904|0.025|0.515|0.020|-3.0|     |
J2112+0622|1733782571164433408|DC      | 9786|  58|7.989|0.011|0.573|0.009|-4.6|     |
J2118-0737|6898453913943607040|DC      | 6290|  54|8.100|0.060|0.635|0.054|-3.2|     |
J2130+1817|1786065654735928064|DC      | 8305|  56|8.060|0.025|0.613|0.022|-4.0|     |
J2130+2537|1798927947915336448|DC      | 5959|  26|7.844|0.016|0.482|0.013|-3.0|     |
J2132+2654|1847190701579945856|DC      | 5814|  36|7.905|0.018|0.515|0.014|-3.0|     |
J2140-0541|2671209215590782208|DC      |10694|  92|7.976|0.019|0.568|0.015|-4.8|     |
J2146+4626|1974579637737581568|DC      | 5609|  64|7.949|0.039|0.540|0.032|-5.0|     |
J2203+2434|1795467063268699264|DC      | 6226|  68|7.934|0.030|0.533|0.025|-3.0|     |
J2206-0112|2677157569201482624|DC      | 5716|  64|8.384|0.091|0.821|0.085|-5.0|     |
J2212-0901|2615968858057952640|DC      |10646| 104|8.206|0.016|0.710|0.015|-4.8|     |
J2225+1835|1777269424274555776|DC      | 7329|  42|8.095|0.009|0.633|0.009|-3.6|     |
J2235+6439|2205619397609830656|DC      | 5298|  50|8.083|0.024|0.633|0.021|    |     |
J2239+1904|2833291244003645440|DC      | 5818|  88|8.379|0.097|0.818|0.089|-3.0|     |
J2249-0608|2611836167511100800|DC      | 6836| 105|8.474|0.089|0.884|0.079|-3.4|     |
J2256-0945|2606779964507034240|DC      |10420|  80|8.043|0.018|0.607|0.016|-4.8|     |
J2318+2117|2837909055400871424|DC      | 5798|  46|8.003|0.026|0.573|0.022|-3.0|     |
